31,wrong_item,customer,umm আপু আমি একটা phone case order করছিলাম কিন্তু আইছে earphone
32,wrong_item,agent,এইটা clearly আমাদের packing mistake স্যার — sorry for the trouble
33,wrong_item,customer,এখন কী করবো? return করতে হবে?
34,wrong_item,agent,হ্যাঁ স্যার আমরা pickup arrange করবো আপনাকে কিছু করতে হবে না
35,wrong_item,customer,okay কিন্তু correct item টা কবে পাবো?
36,wrong_item,agent,pickup এর পর ২ থেকে ৩ দিনের মধ্যে replacement পাঠিয়ে দেবে। 
37,wrong_item,customer,আচ্ছা ঠিক আছে — umm pickup কবে আসবে?
38,wrong_item,agent,আগামীকাল সকাল ১০টা থেকে ১২টার মধ্যে স্যার available থাকবেন?
39,wrong_item,customer,হ্যাঁ থাকবো — ঠিক আছে wait করবো
40,wrong_item,agent,perfect স্যার আমি এখনই schedule করে দিচ্ছি
