 
41,payment_issue,customer, payment হয়ে গেছে কিন্তু order confirm দেখাচ্ছে না
42,payment_issue,agent,সরি স্যার এইটা মাঝে মাঝে হয় — transaction ID টা আছে?
43,payment_issue,customer,হ্যাঁ আছে TXN৮৮৭৭৬৬ — এইটা দিয়ে কী করবেন?
44,payment_issue,agent,এইটা দিয়ে আমরা verify করতে পারবো payment টা received হইছে কিনা
45,payment_issue,customer,okay আর কতক্ষণ লাগবে actually আমি ঘণ্টাখানেক ধরে wait করতেছি
46,payment_issue,agent,বুঝতে পারছি স্যার — ৩০ মিনিটের মধ্যে manually confirm করে দিবো
47,payment_issue,customer,ঠিক আছে কিন্তু যদি না হয় তাহলে refund চাই
48,payment_issue,agent,অবশ্যই স্যার সেটাও possible — কোনো tension নেই
49,payment_issue,customer,আচ্ছা notification আসলে আমি দেখবো
50,payment_issue,agent,জি স্যার SMS আর email দুইটাতেই যাবে
